"Notes"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
"Total"	"Pennsylvania"	"42"			2016	10612601	18.996	18.167	19.826	0.423	18.963	18.105	19.822	0.438
	"Rhode Island"	"44"	"Female"	"F"	30	461714	6.498	4.384	9.276	1.186	6.883	4.536	10.014	1.319
	"Rhode Island"	"44"	"Male"	"M"	98	428183	22.887	18.581	27.892	2.312	23.311	18.815	28.557	2.413
"Total"	"Rhode Island"	"44"			128	889897	14.384	11.892	16.876	1.271	14.838	12.187	17.490	1.353
	"South Carolina"	"45"	"Female"	"F"	188	2136997	8.797	7.540	10.055	0.642	8.912	7.598	10.227	0.671
	"South Carolina"	"45"	"Male"	"M"	639	1972000	32.404	29.891	34.916	1.282	32.807	30.194	35.420	1.333
"Total"	"South Carolina"	"45"			827	4108997	20.127	18.755	21.498	0.700	20.418	18.985	21.852	0.731
	"South Dakota"	"46"	"Female"	"F"	33	342501	9.635	6.632	13.531	1.677	10.582	7.190	15.020	1.903
	"South Dakota"	"46"	"Male"	"M"	149	345731	43.097	36.177	50.017	3.531	43.723	36.549	50.897	3.660
"Total"	"South Dakota"	"46"			182	688232	26.445	22.603	30.287	1.960	27.283	23.214	31.352	2.076
	"Tennessee"	"47"	"Female"	"F"	254	2828215	8.981	7.876	10.085	0.564	9.226	8.057	10.395	0.596
	"Tennessee"	"47"	"Male"	"M"	900	2639628	34.096	31.868	36.323	1.137	34.016	31.744	36.288	1.159
"Total"	"Tennessee"	"47"			1154	5467843	21.105	19.888	22.323	0.621	21.112	19.864	22.360	0.637
	"Texas"	"48"	"Female"	"F"	800	11236237	7.120	6.626	7.613	0.252	7.116	6.617	7.615	0.254
	"Texas"	"48"	"Male"	"M"	2924	10930317	26.751	25.782	27.721	0.495	26.945	25.952	27.937	0.506
"Total"	"Texas"	"48"			3724	22166554	16.800	16.260	17.340	0.275	16.762	16.218	17.307	0.278
	"Utah"	"49"	"Female"	"F"	159	1162997	13.672	11.546	15.797	1.084	14.232	11.989	16.476	1.145
	"Utah"	"49"	"Male"	"M"	493	1162305	42.416	38.672	46.160	1.910	43.097	39.217	46.977	1.980
"Total"	"Utah"	"49"			652	2325302	28.039	25.887	30.192	1.098	28.505	26.284	30.727	1.133
	"Vermont"	"50"	"Female"	"F"	30	269286	11.141	7.517	15.904	2.034	11.660	7.684	16.965	2.262
	"Vermont"	"50"	"Male"	"M"	82	258863	31.677	25.194	39.319	3.498	35.494	28.011	44.361	4.055
"Total"	"Vermont"	"50"			112	528149	21.206	17.279	25.134	2.004	23.316	18.803	27.828	2.302
	"Virginia"	"51"	"Female"	"F"	254	3543931	7.167	6.286	8.049	0.450	7.157	6.257	8.058	0.459
	"Virginia"	"51"	"Male"	"M"	918	3374724	27.202	25.443	28.962	0.898	27.275	25.478	29.071	0.916
"Total"	"Virginia"	"51"			1172	6918655	16.940	15.970	17.910	0.495	16.871	15.887	17.855	0.502
	"Washington"	"53"	"Female"	"F"	294	3030304	9.702	8.593	10.811	0.566	9.668	8.534	10.802	0.579
	"Washington"	"53"	"Male"	"M"	995	3000623	33.160	31.099	35.220	1.051	33.598	31.470	35.725	1.086
"Total"	"Washington"	"53"			1289	6030927	21.373	20.206	22.540	0.595	21.365	20.175	22.556	0.607
	"West Virginia"	"54"	"Female"	"F"	86	768477	11.191	8.951	13.821	1.207	11.443	9.060	14.262	1.291
	"West Virginia"	"54"	"Male"	"M"	306	742174	41.230	36.611	45.850	2.357	42.683	37.753	47.612	2.515
"Total"	"West Virginia"	"54"			392	1510651	25.949	23.380	28.518	1.311	26.730	23.983	29.478	1.402
	"Wisconsin"	"55"	"Female"	"F"	194	2396194	8.096	6.957	9.235	0.581	8.170	6.978	9.363	0.608
	"Wisconsin"	"55"	"Male"	"M"	720	2341443	30.750	28.504	32.996	1.146	30.756	28.448	33.064	1.177
"Total"	"Wisconsin"	"55"			914	4737637	19.292	18.042	20.543	0.638	19.276	17.986	20.565	0.658
	"Wyoming"	"56"	"Female"	"F"	29	228158	12.710	8.512	18.254	2.360	13.992	9.221	20.358	2.674
	"Wyoming"	"56"	"Male"	"M"	128	236494	54.124	44.747	63.500	4.784	54.292	44.628	63.956	4.931
"Total"	"Wyoming"	"56"			157	464652	33.789	28.503	39.074	2.697	34.306	28.780	39.831	2.819
